User,Unauthorized Privilege Escalation,Toxic Privileges,SoD Violation,Conflicting Roles
User4996,Yes,finance:AuditTransactions,No,
User4980,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4975,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4974,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4967,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4963,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4959,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4955,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4954,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User4952,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4949,Yes,finance:AuditTransactions,No,
User4934,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4931,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4927,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4926,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4922,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User4914,Yes,finance:AuditTransactions,No,
User4901,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4900,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4896,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4893,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4882,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User4879,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4876,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4875,Yes,finance:AuditTransactions,No,
User4872,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4871,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4869,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4850,Yes,finance:AuditTransactions;hr:ManageSalaries,Yes,HR-Payroll
User4840,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4833,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4827,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4824,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4815,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4808,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4804,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4803,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4799,Yes,finance:AuditTransactions,No,
User4793,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User4774,Yes,finance:AuditTransactions,No,
User4770,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4768,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4764,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4763,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4756,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4740,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4739,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4715,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4711,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4710,Yes,finance:AuditTransactions,No,
User4709,Yes,finance:AuditTransactions;hr:ManageSalaries,Yes,HR-Payroll
User4707,Yes,finance:AuditTransactions,No,
User4704,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4698,Yes,finance:AuditTransactions,No,
User4684,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4678,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4675,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4669,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User4666,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4867,Yes,finance:AuditTransactions;hr:ManageSalaries,Yes,HR-Payroll
User4652,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4649,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4647,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4635,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4772,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4629,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4888,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4624,Yes,finance:AuditTransactions,No,
User4623,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4620,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4614,Yes,finance:AuditTransactions,No,
User4907,Yes,finance:AuditTransactions,No,
User4607,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4683,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4606,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4603,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4599,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4826,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4585,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4584,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4583,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4570,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4559,Yes,finance:AuditTransactions,No,
User4553,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4543,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4535,Yes,finance:AuditTransactions,No,
User4531,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4525,Yes,finance:AuditTransactions,No,
User4524,Yes,finance:AuditTransactions;hr:ManageSalaries,Yes,HR-Payroll
User4523,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4522,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4841,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4520,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4514,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4511,Yes,finance:AuditTransactions,No,
